title,artist,year,decade,lyrics
Love Story,Taylor Swift,2008,2000s,"171 ContributorsTranslationsFrançaisEspañolPortuguêsDeutschTürkçeČeskysrpskiLove Story LyricsTaylor was inspired to write “Love Story” when she was going through a difficult situation with a boy she liked, whom she wasn’t “officially” dating. The song has been rumored to be about two singers – the… Read More 
We were both young when I first saw you
I close my eyes and the flashback starts
I'm standing there
On a balcony in summer air
See the lights, see the party, the ball gowns
See you make your way through the crowd
And say, ""Hello""
Little did I know

That you were Romeo, you were throwing pebbles
And my daddy said, ""Stay away from Juliet""
And I was crying on the staircase
Begging you, ""Please don't go,"" and I said

Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say, ""Yes""

So I sneak out to the garden to see you
We keep quiet 'cause we're dead if they knew
So close your eyes
Escape this town for a little while, oh, oh

'Cause you were Romeo, I was a scarlet letter
And my daddy said, ""Stay away from Juliet""
But you were everything to me
I was begging you, ""Please don't go,"" and I said

Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say, ""Yes""
Romeo, save me, they're trying to tell me how to feel
This love is difficult, but it's real
Don't be afraid, we'll make it out of this mess
It's a love story, baby, just say, ""Yes""

Oh, oh

But I got tired of waiting
Wondering if you were ever coming around
My faith in you was fading
When I met you on the outskirts of town and I said

""Romeo, save me, I've been feeling so alone
I keep waiting for you, but you never come
Is this in my head? I don't know what to think""
He knelt to the ground and pulled out a ring, and said
""Marry me, Juliet, you'll never have to be alone
I love you and that's all I really know
I talked to your dad, go pick out a white dress
It's a love story, baby, just say 'Yes'""

Oh, oh, oh
Oh, oh, oh
'Cause we were both young when I first saw you"
Low,Flo Rida,2007,2000s,"121 ContributorsTranslationsDeutschLow Lyrics“Low” is the debut single by Flo Rida, from his debut album Mail on Sunday. it was also the soundtrack to the 2008 film Step Up 2: The Streets.

Its catchy, club oriented Southern hip-hop influences made it… Read More 
Mm
Let me talk to 'em, let me talk to 'em
Let it ride (Mm)
Let me talk to 'em (Come on)

Shawty had them Apple Bottom jeans (Jeans), boots with the fur (With the fur)
The whole club was lookin' at her
She hit the floor (She hit the floor), next thing you know
Shawty got low, low, low, low, low, low, low, low
Them baggy sweatpants and the Reeboks with the straps (With the straps)
She turned around and gave that big booty a smack (Ayy)
She hit the floor (She hit the floor), next thing you know
Shawty got low, low, low, low, low, low, low, low

Hey, I ain't never seen nothin' that'll make me go
This crazy all night, spendin' my dough
Had a million dollar vibe and a bottle to go
Them birthday cakes they stole the show
So sexual, she was flexible
Professional, drinkin' X and O
Hold up, wait a minute, do I see what I think I, woah
Did I think I see shawty get low?
Ain't the same when it's up that close
Make it rain, I'm makin' it snow
Work the pole, I got the bank roll
I'ma say that I prefer them no clothes
I'm into that, I love women exposed
She threw it back at me, I gave her more
Cash ain't no problem, I know where it goes

She had them AppleBottom jeans (Jeans), boots with the fur (With the fur)
The whole club was lookin' at her
She hit the floor (She hit the floor), next thing you know
Shawty got low, low, low, low, low, low, low, low
Them baggy sweatpants and the Reeboks with the straps (With the straps)
She turned around and gave that big booty a smack (Ayy)
She hit the floor (She hit the floor), next thing you know
Shawty got low, low, low, low, low, low, low, low

Hey, shawty, what I gotta do to get you home?
My jeans full of guap and they ready for shones
Cadillacs, Maybachs for the sexy groan
Patrón on the rocks that'll make you moan
One stack, c'mon, two stacks, c'mon
Three stacks, c'mon, now that's three grand
What, you think I'm playin', baby girl?
I'm the man, I invented rubber bands
That's what I told her, her legs on my shoulder
I knew it was over, that Henny and Cola
Got me like a soldier, she ready for Rover
I couldn't control her, so lucky, oh, me, I was just like a clover
Shawty was hot like a toaster
Sorry but I had to fold her
Like a pornography poster, she showed her

AppleBottom jeans (Jeans), boots with the fur (With the fur)
The whole club was lookin' at her
She hit the floor (She hit the floor), next thing you know
Shawty got low, low, low, low, low, low, low, low
Them baggy sweatpants and the Reeboks with the straps (With the straps)
She turned around and gave that big booty a smack (Ayy)
She hit the floor (She hit the floor), next thing you know
Shawty got low, low, low, low, low, low, low, low

Woah, shawty
Yeah, she was worth the money
Lil' mama took my cash and I ain't want it back
The way she bent that back, got her them paper stacks
Tattoo above her crack, I had to handle that
I was on it, sexy woman
Let me showin' and made me want it
Two in the mornin', I'm zonin' and them Rosé bottles foamin'
She wouldn't stop, made it drop
Shawty did that pop and lock
Had to break her off that guap
Gal was fly just like my Glock

AppleBottom jeans (Jeans), boots with the fur (With the fur)
The whole club was lookin' at her
She hit the floor (She hit the floor), next thing you know
Shawty got low, low, low, low, low, low, low, low
Them baggy sweatpants and the Reeboks with the straps (With the straps)
She turned around and gave that big booty a smack (Ayy)
She hit the floor (She hit the floor), next thing you know
Shawty got low, low, low, low, low, low, low, low (C'mon)"
Irreplaceable,Beyonce,2006,2000s,"76 ContributorsTranslationsPolskiPortuguêsIrreplaceable Lyrics“Irreplaceable” is the ultimate kiss-off song and ultimately Beyoncé at her peak. The lyrics were originally written by Ne-Yo from a male perspective, but later changed when Beyoncé came on board. In it, she… Read More 
To the left, to the left
To the left, to the left
Mm

To the left, to the left
Everything you own in the box to the left
In the closet, that's my stuff
Yes, if I bought it, nigga, please don't touch (Don't touch)
And keep talkin' that mess, that's fine
But could you walk and talk at the same time?
And, it's my name that's on that Jag
So remove your bags, let me call you a cab

Standin' in the front yard
Tellin' me how I'm such a fool
Talkin' 'bout how I'll never ever find a man like you
You got me twisted

You must not know 'bout me
You must not know 'bout me
I could have another you in a minute
Matter of fact, he'll be here in a minute, baby
You must not know 'bout me
You must not know 'bout me
I can have another you by tomorrow
So don't you ever for a second get to thinking
You're irreplaceable

So go ahead and get gone
Call up that chick and see if she's home
Oops, I bet you thought that I didn't know
What did you think I was puttin' you out for?
Because you was untrue
Rollin' her 'round in the car that I bought you
Baby, drop them keys
Hurry up before your taxi leaves

Standin' in the front yard
Tellin' me how I'm such a fool
Talkin' 'bout how I'll never ever find a man like you
You got me twisted

You must not know 'bout me
You must not know 'bout me
I could have another you in a minute
Matter of fact, he'll be here in a minute, baby
You must not know 'bout me
You must not know 'bout me (Me)
I will have another you by tomorrow
So don't you ever for a second get to thinking
You're irreplaceable (Irreplaceable)

So since I'm not your everything (Irreplaceable)
How about I'll be nothing (Nothing)
Nothing at all to you (Nothing)
Baby, I won't shed a tear for you (I won't shed a tear)
I won't lose a wink of sleep
'Cause the truth of the matter is
Replacing you was so easy

To the left, to the left
To the left, to the left
Mm
To the left, to the left
Everything you own in the box to the left
To the left, to the left
Don't you ever for a second get to thinking
You're irreplaceable

You must not know 'bout me
You must not know 'bout me
I could have another you in a minute
Matter of fact, he'll be here in a minute, baby
You must not know 'bout me
You must not know 'bout me (Me)
I can have another you by tomorrow
So don't you ever for a second get to thinking
You must not know 'bout me (Baby, yeah)
You must not know 'bout me (Yeah)
I could have another you in a minute
Matter of fact, he'll be here in a minute
You can pack all your bags, we're finished
(You must not know 'bout me)
'Cause you made your bed, now lay in it
(You must not know 'bout me, me)
I can have another you by tomorrow
Don't you ever for a second get to thinking
You're irreplaceable"
SexyBack,Justin Timberlake,2006,2000s,"102 ContributorsTranslationsPortuguêsРусский (Russian)TürkçeSexyBack Lyrics“SexyBack”, that uber-naughty smash hit of 2006, is a song by American recording artist Justin Timberlake from his second studio album, FutureSex/LoveSounds.

The track became Timberlake’s first number-one… Read More 
I'm bringin' sexy back (Yeah)
Them other boys don't know how to act (Yeah)
I think it's special, what's behind your back? (Yeah)
So turn around and I'll pick up the slack (Yeah)
Take it to the bridge, c'mon (Listen)

Dirty babe (Uh-huh)
You see these shackles, baby, I'm your slave (Uh-huh)
I'll let you whip me if I misbehave (Uh-huh)
It's just that no one makes me feel this way (Uh-huh)
Take it to the chorus

Come here, girl (Go 'head, be gone with it)
Come to the back (Go 'head, be gone with it)
VIP (Go 'head, be gone with it)
Drinks on me (Go 'head, be gone with it)
Let me see what you're twerkin' with (Go 'head, be gone with it)
Look at those hips (Go 'head, be gone with it)
You make me smile (Go 'head, be gone with it)
Go 'head, child (Go 'head, be gone with it)
And get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on, ha (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on

I'm bringin' sexy back (Yeah)
Them other fuckers don't know how to act (Yeah)
Girl, let me make up for the things you lack (Yeah)
'Cause you're burnin' up, I gotta get it fast (Yeah)
Take it to the bridge, ha (Listen)

Dirty babe (Uh-huh)
You see these shackles, baby, I'm your slave (Uh-huh)
I'll let you whip me if I misbehave (Uh-huh)
It's just that no one makes me feel this way (Uh-huh)
Take it to the chorus, ha

Come here, girl (Go 'head, be gone with it)
Come to the back (Go 'head, be gone with it)
VIP (Go 'head, be gone with it)
Drinks on me (Go 'head, be gone with it)
Let me see what you're twerkin' with (Go 'head, be gone with it)
Look at those hips (Go 'head, be gone with it)
You make me smile (Go 'head, be gone with it)
Go 'head, child (Go 'head, be gone with it)
And get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on, ha (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on, ha

You ready?
You ready?
You ready?
Uh (Yes)

I'm bringin' sexy back (Yeah)
You motherfuckers watch how I attack (Yeah)
If that's your girl, better watch your back (Yeah)
'Cause she'll burn it up for me, and that's a fact (Yeah)
Take it to the chorus, ha

Come here, girl (Go 'head, be gone with it)
Come to the back (Go 'head, be gone with it)
VIP (Go 'head, be gone with it)
Drinks on me (Go 'head, be gone with it)
Let me see what you're twerkin' with (Go 'head, be gone with it)
Look at those hips (Go 'head, be gone with it)
You make me smile (Go 'head, be gone with it)
Go 'head, child (Go 'head, be gone with it)
And get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on, ha (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on

You ready? (Yes)
You ready? (Yes)
(Yes)"
Rolling In The Deep,Adele,2010,2010s,"129 ContributorsTranslationsFrançaisEspañolPortuguêsΕλληνικάفارسیPolskiTürkçeItalianoDeutschالعربيةRolling in the Deep LyricsThe 2012 song and record of the Year at the Grammy’s, “Rolling In The Deep” was described in an interview with Spin Magazine as a ‘gospel disco’ kiss-off to an unfaithful dude:

It’s me saying, ‘Get the fuck… Read More 
There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark
Finally, I can see you crystal clear
Go ahead and sell me out and I'll lay your shit bare
See how I'll leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark

The scars of your love remind me of us
They keep me thinkin' that we almost had it all
The scars of your love, they leave me breathless
I can't help feeling

We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)

Baby, I have no story to be told
But I've heard one on you, now I'm gonna make your head burn
Think of me in the depths of your despair
Make a home down there, as mine sure won't be shared

(You're gonna wish you never had met me) The scars of your love remind me of us
(Tears are gonna fall, rolling in the deep) They keep me thinkin' that we almost had it all
(You're gonna wish you never had met me) The scars of your love, they leave me breathless
(Tears are gonna fall, rolling in the deep) I can't help feeling

We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)
Could've had it all
Rolling in the deep
You had my heart inside of your hand
But you played it with a beating

Throw your soul through every open door (Ooh woah, oh)
Count your blessings to find what you look for (Woah)
Turn my sorrow into treasured gold (Ooh woah, oh)
You'll pay me back in kind and reap just what you've sown

(You're gonna wish you never had met me)
We could've had it all (Tears are gonna fall, rolling in the deep)
We could've had it all, yeah (You're gonna wish you never had met me)
It all, it all, it all (Tears are gonna fall, rolling in the deep)

We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)
Could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
But you played it, you played it, you played it
You played it to the beat"
Someone Like You,Adele,2011,2010s,"174 ContributorsTranslationsEspañolΕλληνικάفارسیDeutschالعربيةFrançaisItalianoУкраїнськаTürkçeSomeone Like You Lyrics“Someone Like You” is the second single off of Adele’s sophomore album, 21. The track was inspired by the broken relationship that inspired most of 21. As the closing track of the album, lyrically, it speaks… Read More 
I heard that you're settled down
That you found a girl and you're married now
I heard that your dreams came true
Guess she gave you things I didn't give to you
Old friend, why are you so shy?
Ain't like you to hold back or hide from the light

I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over

Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Sometimes it lasts in love, but sometimes it hurts instead

You know how the time flies
Only yesterday was the time of our lives
We were born and raised in a summer haze
Bound by the surprise of our glory days

I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over

Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead

Nothing compares, no worries or cares
Regrets and mistakes, they're memories made
Who would have known how bittersweet this would taste?

Never mind, I'll find someone like you
I wish nothing but the best for you
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Sometimes it lasts in love, but sometimes it hurts instead"
Call Me Maybe,Carly Rae Jepsen,2012,2010s,"183 ContributorsTranslationsPortuguêsFrançaisTürkçeالعربيةDeutschEspañolCall Me Maybe Lyrics
I threw a wish in the well
Don't ask me, I'll never tell
I looked to you as it fell
And now you're in my way
I trade my soul for a wish
Pennies and dimes for a kiss
I wasn't lookin' for this
But now you're in my way

Your stare was holdin'
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're goin', baby?

Hey, I just met you, and this is crazy
But here's my number, so call me maybe
It's hard to look right at you, baby
But here's my number, so call me maybe
Hey, I just met you, and this is crazy
But here's my number, so call me maybe
And all the other boys try to chase me
But here's my number, so call me maybe

You took your time with the call
I took no time with the fall
You gave me nothin' at all
But still, you're in my way
I beg and borrow and steal
At first sight, and it's real
I didn't know I would feel it
But it's in my way

Your stare was holdin'
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're goin', baby?

Hey, I just met you, and this is crazy
But here's my number, so call me maybe
It's hard to look right at you, baby
But here's my number, so call me maybe
Hey, I just met you, and this is crazy
But here's my number, so call me maybe
And all the other boys try to chase me
But here's my number, so call me maybe

Before you came into my life, I missed you so bad
I missed you so bad, I missed you so, so bad
Before you came into my life, I missed you so bad
And you should know that, I missed you so, so bad

It's hard to look right at you, baby
But here's my number, so call me maybe

Hey, I just met you, and this is crazy
But here's my number, so call me maybe
And all the other boys try to chase me
But here's my number, so call me maybe

Before you came into my life, I missed you so bad
I missed you so bad, I missed you so, so bad
Before you came into my life, I missed you so bad
And you should know that, so call me maybe"
Happy,Pharrell Williams,2013,2010s,"196 ContributorsTranslationsPortuguêsΕλληνικάFrançaisРусский (Russian)TürkçeHappy LyricsPharrell made the world “Happy” in 2014 with this feel-good anthem. The song soared to #1 in 35 countries—it was the best selling song of 2014.

Pharrell wrote and produced “Happy” for the soundtrack of… Read More 

It might seem crazy what I'm 'bout to say
Sunshine, she's here, you can take a break
I'm a hot air balloon that could go to space
With the air, like I don't care, baby, by the way, huh

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

Here come bad news, talking this and that (Yeah!)
Well, give me all you got, don't hold it back (Yeah!)
Well, I should probably warn ya, I'll be just fine (Yeah!)
No offense to you, don’t waste your time, here's why

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do (Hey! Come on! Uh!)

(Happy) Bring me down
Can't nothing (Happy), bring me down
My level's too high to (Happy), bring me down
Can't nothing (Happy), bring me down, I said
(Let me tell you now)
(Happy, happy, happy, happy) Bring me down
Can't nothing (Happy, happy, happy, happy) bring me down
My level's too high to (Happy, happy, happy, happy)  bring me down
Can't nothing (Happy, happy, happy) bring me down, I said

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do (Hey! Come on! Uh!)

(Happy, happy, happy, happy) Bring me down
Can't nothing (Happy, happy, happy, happy) bring me down
My level's too high to (Happy, happy, happy, happy)  bring me down
Can't nothing (Happy, happy, happy) bring me down, I said…

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do (Come on)"
Uptown Funk,Mark Ronson,2014,2010s,"195 ContributorsTranslationsPortuguêsItalianoΕλληνικάDeutschTürkçeUptown Funk Lyrics“Uptown Funk” is the fourth track on and first single off of Mark Ronson’s fourth studio album, Uptown Special. The song topped the Billboard charts and has sold over 11,000,000 copies in the United States… Read More 
Doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh (Aw, ow)

This hit, that ice cold
Michelle Pfeiffer, that white gold
This one for them hood girls
Them good girls, straight masterpieces
Stylin', wilin', livin' it up in the city
Got Chucks on with Saint Laurent
Gotta kiss myself, I'm so pretty

I'm too hot (Hot damn)
(Doh)
Uh, call the police and the fireman
(Doh-doh-doh, doh-doh-doh, doh-doh)
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Make a dragon wanna retire, man
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Say my name, you know who I am
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh, doh, doh)
And my band 'bout that money, break it down

Girls hit your hallelujah (Woo)
Girls hit your hallelujah (Woo)
Girls hit your hallelujah (Woo)
'Cause uptown funk gon' give it to you (Woo)
('Cause uptown funk gon' give it to you)
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me, just watch, come on

Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Don't believe me, just watch, uh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh—)
Don't believe me, just watch, uh
Don't believe me, just watch, uh
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh

Stop, wait a minute
Fill my cup, put some liquor in it
Take a sip, sign the check
Julio, get the stretch
Ride to Harlem, Hollywood, Jackson, Mississippi
If we show up, we gon' show out
Smoother than a fresh jar of Skippy

I'm too hot (Hot damn)
(Doh)
Call the police and the fireman
(Doh-doh-doh, doh-doh-doh, doh-doh)
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Make a dragon wanna retire, man
I'm too hot (Too hot, hot damn, hot damn)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Bitch, say my name, you know who I am
I'm too hot (Hot damn)
(Doh-doh-doh, doh-doh, doh, doh)
Uh, and my band 'bout that money, break it down

Girls hit your hallelujah (Woo)
Girls hit your hallelujah (Woo)
Girls hit your hallelujah (Woo)
'Cause uptown funk gon' give it to you (Woo)
('Cause uptown funk gon' give it to you)
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me, just watch, come on

Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Don't believe me, just watch, uh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh—)
Don't believe me, just watch, uh
Don't believe me, just watch, uh
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh

(Doh)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Before we leave
(Doh-doh-doh, doh-doh-doh, doh-doh)
Lemme tell y'all a lil' something
Uptown funk you up, uptown funk you up
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up, uptown funk you up, uh
(Doh-doh-doh, doh-doh-doh, doh-doh)
I said, uptown funk you up, uptown funk you up, uh
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up, uptown funk you up, come on
(Doh-doh-doh, doh-doh, doh, doh)
Dance, jump on it
(Doh-doh-doh, doh-doh-doh, doh-doh)
If you sexy, then flaunt it
If you freaky, then own it
(Doh-doh-doh, doh-doh-doh, doh-doh)
Don't brag about it, come show me, come on
Dance, jump on it
(Doh-doh-doh, doh-doh-doh, doh-doh)
If you sexy, then flaunt it
Well, it's Saturday night and we in the spot
Don't believe me, just watch, come on

Doh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Don't believe me, just watch, uh
Doh-doh-doh, doh-doh-doh, doh-doh (Ya)
(Doh-doh-doh, doh-doh—)
Don't believe me, just watch, uh
Don't believe me, just watch, uh
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh

Uptown funk you up (Woo, come on)
(Doh)
Uptown funk you up (Hey, say what?)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up (Hey)
(Doh-doh-doh, doh)
Uptown funk you up (Come on)
(Doh)
Uptown funk you up (Woo, come on)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up (Hey, say what?)
Uptown funk you up (Hey)
Uptown funk you up (Come on)
(Doh)
Uptown funk you up (Woo, come on)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up (Hey, say what?)
Uptown funk you up (Hey)
(Doh-doh-doh, doh)
Uptown funk you up (Come on)
(Doh)
Uptown funk you up (Ah)
(Doh-doh-doh, doh-doh-doh, doh-doh)
Uptown funk you up (Say what?)
Uptown funk you up
Aw, ow"
Shape Of You,Ed Sheeran,2017,2010s,"433 ContributorsTranslationsTürkçeEspañolPortuguêsΕλληνικάDeutschFrançaisItalianoالعربيةPolski한국어 (Korean)Русский (Russian)ČeskysrpskiShape of You LyricsEd Sheeran released “Shape of You” together with “Castle On The Hill.” The two songs were the first releases from his third album, ÷ (Divide), following in the mathematical footsteps of his +  (Plus) and x… Read More 
A club isn't the best place to find a lover
So the bar is where I go (Mm)
Me and my friends at the table doin' shots
Drinkin' fast and then we talk slow (Mm)
And you come over and start up a conversation with just me
And trust me, I'll give it a chance now (Mm)
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance, and now I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

One week in, we let the story begin
We're goin' out on our first date (Mm)
You and me are thrifty, so go all-you-can-eat
Fill up your bag and I fill up a plate (Mm)
We talk for hours and hours about the sweet and the sour
And how your family is doin' okay (Mm)
And leave and get in a taxi, and kiss in the back seat
Tell the driver make the radio play and I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you"
